part_name,type,x_extent,y_extent,start_pad,end_pad,color,hatch,arrowhead_height,arrowhead_length,linestyle,linewidth
_NONCE_PAD,UserDefined,30,,,,1.00;1.00;1.00,,,,,
RiboJ53,Ribozyme,,,,,0.98;0.64;0.15,,,,,
L3S2P55,Terminator,,,,,0.23;0.66;0.88,,,,,
ECK120033736,Terminator,,,,,0.44;0.80;0.88,,,,,
P3,RBS,,,,,0.98;0.64;0.15,,,,,
ECK120033737,Terminator,,,,,0.98;0.64;0.15,,,,,
AraJ,Ribozyme,,,,,0.44;0.80;0.88,,,,,
VanR,CDS,,,,,0.44;0.80;0.88,,,,,
YFP_cassette,UserDefined,25,5,,,0.00;0.00;0.00,,,,,
pVanR,Promoter,,,,,0.44;0.80;0.88,,,,,
A1,RBS,,,,,0.23;0.66;0.88,,,,,
pTac,Promoter,,,,,0.0;0.0;0.0,,,,,
pAmtR,Promoter,,,,,0.23;0.66;0.88,,,,,
AmtR,CDS,,,,,0.23;0.66;0.88,,,,,
PhlF,CDS,,,,,0.98;0.64;0.15,,,,,
V1,RBS,,,,,0.44;0.80;0.88,,,,,
BydvJ,Ribozyme,,,,,0.23;0.66;0.88,,,,,
pLux2,Promoter,,,,,0.0;0.0;0.0,,,,,
