part_name,type,x_extent,y_extent,start_pad,end_pad,color,hatch,arrowhead_height,arrowhead_length,linestyle,linewidth
_NONCE_PAD,UserDefined,30,,,,1.00;1.00;1.00,,,,,
pAmeR,Promoter,,,,,0.44;0.80;0.88,,,,,
Q1,RBS,,,,,0.40;0.74;0.27,,,,,
RiboJ53,Ribozyme,,,,,0.98;0.64;0.15,,,,,
P1,RBS,,,,,0.98;0.64;0.15,,,,,
RiboJ54,Ribozyme,,,,,0.44;0.80;0.88,,,,,
RiboJ60,Ribozyme,,,,,0.40;0.74;0.27,,,,,
DT5,Terminator,,,,,0.98;0.64;0.15,,,,,
YFP_reporter_cassette,UserDefined,25,5,,,0.00;0.00;0.00,,,,,
DT60,Terminator,,,,,0.44;0.80;0.88,,,,,
F2,RBS,,,,,0.44;0.80;0.88,,,,,
pPhlF,Promoter,,,,,0.98;0.64;0.15,,,,,
PTtg,Promoter,,,,,0.0;0.0;0.0,,,,,
PCymRC,Promoter,,,,,0.0;0.0;0.0,,,,,
PhlF,CDS,,,,,0.98;0.64;0.15,,,,,
QacR,CDS,,,,,0.40;0.74;0.27,,,,,
AmeRs,CDS,,,,,0.44;0.80;0.88,,,,,
R1,Terminator,,,,,0.40;0.74;0.27,,,,,
pQacR,Promoter,,,,,0.40;0.74;0.27,,,,,
