part_name,type,x_extent,y_extent,start_pad,end_pad,color,hatch,arrowhead_height,arrowhead_length,linestyle,linewidth
_NONCE_PAD,UserDefined,30,,,,1.00;1.00;1.00,,,,,
Q1,RBS,,,,,0.40;0.74;0.27,,,,,
RiboJ53,Ribozyme,,,,,0.98;0.64;0.15,,,,,
SarJ,Ribozyme,,,,,0.93;0.18;0.17,,,,,
P1,RBS,,,,,0.98;0.64;0.15,,,,,
BM3R1,CDS,,,,,0.93;0.18;0.17,,,,,
PTac,Promoter,,,,,0.0;0.0;0.0,,,,,
RiboJ60,Ribozyme,,,,,0.40;0.74;0.27,,,,,
DT5,Terminator,,,,,0.98;0.64;0.15,,,,,
YFP_reporter_cassette,UserDefined,25,5,,,0.00;0.00;0.00,,,,,
DT83,Terminator,,,,,0.93;0.18;0.17,,,,,
B3,RBS,,,,,0.93;0.18;0.17,,,,,
pPhlF,Promoter,,,,,0.98;0.64;0.15,,,,,
pBM3R1,Promoter,,,,,0.93;0.18;0.17,,,,,
PCymRC,Promoter,,,,,0.0;0.0;0.0,,,,,
PhlF,CDS,,,,,0.98;0.64;0.15,,,,,
QacR,CDS,,,,,0.40;0.74;0.27,,,,,
R1,Terminator,,,,,0.40;0.74;0.27,,,,,
pQacR,Promoter,,,,,0.40;0.74;0.27,,,,,
